MACHINE,MODE,BATCH_SIZE,OPERATION,RUNNING TIME,LOG TIME,NOTE
Chihang Laptop,GPU,1,mean step time,15.152613321940104,2015-07-07 10:39:23.378208,
Chihang Laptop,GPU,1,loss,0.53970019022623694,2015-07-07 10:39:23.378208,
Chihang Laptop,GPU,1,pool1_relu1_0_split,6.3823064168294268,2015-07-07 10:39:23.378208,
Chihang Laptop,GPU,1,relu3,0.82929929097493493,2015-07-07 10:39:23.378208,
Chihang Laptop,GPU,1,relu2,1.6106764475504558,2015-07-07 10:39:23.378208,
Chihang Laptop,GPU,1,relu1,3.2313664754231772,2015-07-07 10:39:23.378208,
Chihang Laptop,GPU,1,conv3,3.9636294047037763,2015-07-07 10:39:23.378208,
Chihang Laptop,GPU,1,conv2,4.9586296081542969,2015-07-07 10:39:23.378208,
Chihang Laptop,GPU,1,conv1,6.2660376230875654,2015-07-07 10:39:23.378208,
Chihang Laptop,GPU,1,ip1,0.73234240214029944,2015-07-07 10:39:23.378208,
Chihang Laptop,GPU,1,first step time,70178.20692062378,2015-07-07 10:39:23.378208,
Chihang Laptop,GPU,1,norm2,1.5096664428710938,2015-07-07 10:39:23.378208,
Chihang Laptop,GPU,1,pool3,0.77096621195475257,2015-07-07 10:39:23.378208,
Chihang Laptop,GPU,1,pool2,2.3086865743001304,2015-07-07 10:39:23.378208,
Chihang Laptop,GPU,1,pool1,3.9552847544352217,2015-07-07 10:39:23.378208,
Chihang Laptop,GPU,1,data,10.802348454793295,2015-07-07 10:39:23.378208,
Chihang Laptop,GPU,1,norm1,3.0581156412760415,2015-07-07 10:39:23.378208,
Chihang Laptop,CPU,1,mean step time,11.300961176554361,2015-07-07 10:40:03.194964,
Chihang Laptop,CPU,1,loss,0.27934710184733075,2015-07-07 10:40:03.194964,
Chihang Laptop,CPU,1,pool1_relu1_0_split,3.7360191345214844,2015-07-07 10:40:03.194964,
Chihang Laptop,CPU,1,relu3,0.32265981038411456,2015-07-07 10:40:03.194964,
Chihang Laptop,CPU,1,relu2,1.2846787770589192,2015-07-07 10:40:03.194964,
Chihang Laptop,CPU,1,relu1,3.7163893381754556,2015-07-07 10:40:03.194964,
Chihang Laptop,CPU,1,conv3,1.0109742482503254,2015-07-07 10:40:03.194964,
Chihang Laptop,CPU,1,conv2,2.8389294942220054,2015-07-07 10:40:03.194964,
Chihang Laptop,CPU,1,conv1,5.2827199300130205,2015-07-07 10:40:03.194964,
Chihang Laptop,CPU,1,ip1,0.3223419189453125,2015-07-07 10:40:03.194964,
Chihang Laptop,CPU,1,first step time,39662.82415390015,2015-07-07 10:40:03.194964,
Chihang Laptop,CPU,1,norm2,1.2436707814534504,2015-07-07 10:40:03.194964,
Chihang Laptop,CPU,1,pool3,0.31995773315429688,2015-07-07 10:40:03.194964,
Chihang Laptop,CPU,1,pool2,1.2603600819905598,2015-07-07 10:40:03.194964,
Chihang Laptop,CPU,1,pool1,4.1143099466959638,2015-07-07 10:40:03.194964,
Chihang Laptop,CPU,1,data,5.400737126668294,2015-07-07 10:40:03.194964,
Chihang Laptop,CPU,1,norm1,3.7319660186767578,2015-07-07 10:40:03.194964,
Chihang Laptop,GPU,11,mean step time,150.07336934407553,2015-07-07 10:41:19.846557,
Chihang Laptop,GPU,11,loss,0.50036112467447913,2015-07-07 10:41:19.846557,
Chihang Laptop,GPU,11,pool1_relu1_0_split,25.167306264241535,2015-07-07 10:41:19.846557,
Chihang Laptop,GPU,11,relu3,2.22627321879069,2015-07-07 10:41:19.846557,
Chihang Laptop,GPU,11,relu2,10.559399922688803,2015-07-07 10:41:19.846557,
Chihang Laptop,GPU,11,relu1,23.804108301798504,2015-07-07 10:41:19.846557,
Chihang Laptop,GPU,11,conv3,14.853636423746744,2015-07-07 10:41:19.846557,
Chihang Laptop,GPU,11,conv2,21.015644073486328,2015-07-07 10:41:19.846557,
Chihang Laptop,GPU,11,conv1,41.602373123168945,2015-07-07 10:41:19.846557,
Chihang Laptop,GPU,11,ip1,0.71660677591959632,2015-07-07 10:41:19.846557,
Chihang Laptop,GPU,11,first step time,75299.71981048584,2015-07-07 10:41:19.846557,
Chihang Laptop,GPU,11,norm2,13.336737950642904,2015-07-07 10:41:19.846557,
Chihang Laptop,GPU,11,pool3,0.93698501586914062,2015-07-07 10:41:19.846557,
Chihang Laptop,GPU,11,pool2,10.442097981770834,2015-07-07 10:41:19.846557,
Chihang Laptop,GPU,11,pool1,26.791652043660481,2015-07-07 10:41:19.846557,
Chihang Laptop,GPU,11,data,77.62233416239421,2015-07-07 10:41:19.846557,
Chihang Laptop,GPU,11,norm1,23.603359858194988,2015-07-07 10:41:19.846557,
Chihang Laptop,CPU,11,mean step time,111.50733629862468,2015-07-07 10:42:19.134356,
Chihang Laptop,CPU,11,loss,0.28832753499348956,2015-07-07 10:42:19.134356,
Chihang Laptop,CPU,11,pool1_relu1_0_split,36.389986673990883,2015-07-07 10:42:19.134356,
Chihang Laptop,CPU,11,relu3,0.68068504333496094,2015-07-07 10:42:19.134356,
Chihang Laptop,CPU,11,relu2,10.442654291788736,2015-07-07 10:42:19.134356,
Chihang Laptop,CPU,11,relu1,36.779642105102539,2015-07-07 10:42:19.134356,
Chihang Laptop,CPU,11,conv3,7.9927444458007812,2015-07-07 10:42:19.134356,
Chihang Laptop,CPU,11,conv2,28.24989954630534,2015-07-07 10:42:19.134356,
Chihang Laptop,CPU,11,conv1,51.636934280395508,2015-07-07 10:42:19.134356,
Chihang Laptop,CPU,11,ip1,0.410000483194987,2015-07-07 10:42:19.134356,
Chihang Laptop,CPU,11,first step time,57971.230030059814,2015-07-07 10:42:19.134356,
Chihang Laptop,CPU,11,norm2,9.9842548370361328,2015-07-07 10:42:19.134356,
Chihang Laptop,CPU,11,pool3,0.63482920328776038,2015-07-07 10:42:19.134356,
Chihang Laptop,CPU,11,pool2,10.457038879394531,2015-07-07 10:42:19.134356,
Chihang Laptop,CPU,11,pool1,40.76568285624186,2015-07-07 10:42:19.134356,
Chihang Laptop,CPU,11,data,49.41741625467936,2015-07-07 10:42:19.134356,
Chihang Laptop,CPU,11,norm1,37.008603413899742,2015-07-07 10:42:19.134356,
Chihang Laptop,GPU,21,mean step time,211.54260635375977,2015-07-07 10:43:35.751824,
Chihang Laptop,GPU,21,loss,0.53334236145019531,2015-07-07 10:43:35.751824,
Chihang Laptop,GPU,21,pool1_relu1_0_split,53.905328114827476,2015-07-07 10:43:35.751824,
Chihang Laptop,GPU,21,relu3,1.3640721638997395,2015-07-07 10:43:35.751824,
Chihang Laptop,GPU,21,relu2,16.412258148193359,2015-07-07 10:43:35.751824,
Chihang Laptop,GPU,21,relu1,46.201308568318687,2015-07-07 10:43:35.751824,
