MACHINE,MODE,BATCH_SIZE,OPERATION,RUNNING TIME,LOG TIME,NOTE
Chihang Laptop,GPU,1,mean step time,17.905314763387043,2015-07-07 08:08:06.295607,
Chihang Laptop,GPU,1,loss,0.37638346354166669,2015-07-07 08:08:06.295607,
Chihang Laptop,GPU,1,relu1,0.53970019022623694,2015-07-07 08:08:06.295607,
Chihang Laptop,GPU,1,ip2,0.503698984781901,2015-07-07 08:08:06.295607,
Chihang Laptop,GPU,1,conv2,3.3080577850341797,2015-07-07 08:08:06.295607,
Chihang Laptop,GPU,1,conv1,3.6469300587972007,2015-07-07 08:08:06.295607,
Chihang Laptop,GPU,1,ip1,2.8580029805501304,2015-07-07 08:08:06.295607,
Chihang Laptop,GPU,1,first step time,7951.140880584717,2015-07-07 08:08:06.295607,
Chihang Laptop,GPU,1,pool2,2.8836727142333984,2015-07-07 08:08:06.295607,
Chihang Laptop,GPU,1,pool1,3.3586819966634116,2015-07-07 08:08:06.295607,
Chihang Laptop,GPU,1,data,6.6183408101399737,2015-07-07 08:08:06.295607,
Chihang Laptop,CPU,1,mean step time,5.8767795562744141,2015-07-07 08:08:12.610018,
Chihang Laptop,CPU,1,loss,0.14972686767578125,2015-07-07 08:08:12.610018,
Chihang Laptop,CPU,1,relu1,0.15926361083984375,2015-07-07 08:08:12.610018,
Chihang Laptop,CPU,1,ip2,0.18938382466634116,2015-07-07 08:08:12.610018,
Chihang Laptop,CPU,1,conv2,0.915368398030599,2015-07-07 08:08:12.610018,
Chihang Laptop,CPU,1,conv1,1.2733141581217449,2015-07-07 08:08:12.610018,
Chihang Laptop,CPU,1,ip1,0.56036313374837243,2015-07-07 08:08:12.610018,
Chihang Laptop,CPU,1,first step time,6264.318943023682,2015-07-07 08:08:12.610018,
Chihang Laptop,CPU,1,pool2,0.56672096252441406,2015-07-07 08:08:12.610018,
Chihang Laptop,CPU,1,pool1,1.0277430216471355,2015-07-07 08:08:12.610018,
Chihang Laptop,CPU,1,data,1.6589959462483723,2015-07-07 08:08:12.610018,
Chihang Laptop,GPU,2,mean step time,22.719621658325195,2015-07-07 08:08:21.297773,
Chihang Laptop,GPU,2,loss,0.3490447998046875,2015-07-07 08:08:21.297773,
