MACHINE,MODE,BATCH_SIZE,OPERATION,RUNNING TIME,LOG TIME,NOTE
Jetson TK1,GPU,20,mean step time,29.777884483337402,2015-07-07 17:34:55.407566,
Jetson TK1,GPU,20,loss,3.0829906463623047,2015-07-07 17:34:55.407566,
Jetson TK1,GPU,20,relu1,3.7249326705932617,2015-07-07 17:34:55.407566,
Jetson TK1,GPU,20,ip2,5.3110122680664062,2015-07-07 17:34:55.407566,
Jetson TK1,GPU,20,conv2,10.193586349487305,2015-07-07 17:34:55.407566,
Jetson TK1,GPU,20,conv1,17.329931259155273,2015-07-07 17:34:55.407566,
Jetson TK1,GPU,20,ip1,6.4840316772460938,2015-07-07 17:34:55.407566,
Jetson TK1,GPU,20,first step time,5398.693799972534,2015-07-07 17:34:55.407566,
Jetson TK1,GPU,20,pool2,4.7938823699951172,2015-07-07 17:34:55.407566,
Jetson TK1,GPU,20,pool1,10.452985763549805,2015-07-07 17:34:55.407566,
Jetson TK1,GPU,20,data,16.875028610229492,2015-07-07 17:34:55.407566,
Jetson TK1,CPU,20,mean step time,107.82396793365479,2015-07-07 17:35:14.741445,
Jetson TK1,CPU,20,loss,0.48696994781494141,2015-07-07 17:35:14.741445,
Jetson TK1,CPU,20,relu1,0.67245960235595703,2015-07-07 17:35:14.741445,
Jetson TK1,CPU,20,ip2,0.58400630950927734,2015-07-07 17:35:14.741445,
Jetson TK1,CPU,20,conv2,41.147947311401367,2015-07-07 17:35:14.741445,
Jetson TK1,CPU,20,conv1,37.374019622802734,2015-07-07 17:35:14.741445,
Jetson TK1,CPU,20,ip1,5.3355693817138672,2015-07-07 17:35:14.741445,
Jetson TK1,CPU,20,first step time,18384.406089782715,2015-07-07 17:35:14.741445,
Jetson TK1,CPU,20,pool2,6.3414573669433594,2015-07-07 17:35:14.741445,
Jetson TK1,CPU,20,pool1,39.86203670501709,2015-07-07 17:35:14.741445,
Jetson TK1,CPU,20,data,37.694096565246582,2015-07-07 17:35:14.741445,
Jetson TK1,GPU,25,mean step time,30.81357479095459,2015-07-07 17:35:20.447813,
Jetson TK1,GPU,25,loss,2.9559135437011719,2015-07-07 17:35:20.447813,
Jetson TK1,GPU,25,relu1,4.7719478607177734,2015-07-07 17:35:20.447813,
